0.392: [GC 0.392: [ParNew: 1984K->320K(2304K), 0.0075019 secs] 1984K->524K(7616K), 0.0075748 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.590: [GC 0.590: [ParNew: 2304K->320K(2304K), 0.0082063 secs] 2508K->1041K(7616K), 0.0082708 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.684: [GC 0.684: [ParNew: 2304K->215K(2304K), 0.0032742 secs] 3025K->1154K(7616K), 0.0033315 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.776: [GC 0.776: [ParNew: 2199K->319K(2304K), 0.0021014 secs] 3138K->1307K(7616K), 0.0021572 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.861: [GC 0.861: [ParNew: 2303K->320K(2304K), 0.0040681 secs] 3291K->1625K(7616K), 0.0041181 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.905: [GC 0.905: [ParNew: 2304K->312K(2304K), 0.0026147 secs] 3609K->1856K(7616K), 0.0026682 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.984: [GC 0.984: [ParNew: 2296K->128K(2304K), 0.0018527 secs] 3840K->1778K(7616K), 0.0018959 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.064: [GC 1.064: [ParNew: 2112K->258K(2304K), 0.0022034 secs] 3762K->1909K(7616K), 0.0022478 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.131: [GC 1.131: [ParNew: 2242K->183K(2304K), 0.0020510 secs] 3893K->2011K(7616K), 0.0020989 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.147: [Full GC (System) 1.147: [Tenured: 1827K->1889K(5312K), 0.0478658 secs] 2441K->1889K(7616K), [Perm : 10118K->10118K(21248K)], 0.0479395 secs] [Times: user=0.04 sys=0.01, real=0.04 secs] 
1.196: [Full GC (System) 1.196: [Tenured: 1889K->1889K(5312K), 0.0499849 secs] 1910K->1889K(7680K), [Perm : 10118K->10118K(21248K)], 0.0500446 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
7.950: [GC 7.950: [ParNew: 2048K->319K(2368K), 0.0051144 secs] 3937K->2399K(7680K), 0.0051778 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.024: [GC 8.024: [ParNew: 2367K->320K(2368K), 0.0043999 secs] 4447K->3057K(7680K), 0.0044642 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
8.090: [GC 8.090: [ParNew: 2368K->320K(2368K), 0.0065137 secs] 5105K->3620K(7680K), 0.0065761 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.186: [GC 8.186: [ParNew: 2368K->320K(2368K), 0.0077615 secs] 5668K->4200K(7680K), 0.0083881 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
8.267: [GC 8.267: [ParNew: 2368K->320K(2368K), 0.0057603 secs] 6248K->4776K(7680K), 0.0058293 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
8.351: [GC 8.351: [ParNew: 2368K->319K(2368K), 0.0105738 secs] 6824K->5297K(7680K), 0.0106481 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
8.416: [GC 8.416: [ParNew: 2367K->320K(2368K), 0.0065961 secs]8.423: [Tenured: 5435K->5186K(5504K), 0.0805951 secs] 7345K->5186K(7872K), [Perm : 10606K->10606K(21248K)], 0.0873531 secs] [Times: user=0.14 sys=0.01, real=0.09 secs] 
8.544: [GC 8.544: [ParNew: 3392K->512K(3904K), 0.0107393 secs] 8578K->6533K(12552K), 0.0108058 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
11.134: [GC 11.134: [ParNew: 3903K->462K(3904K), 0.0061881 secs] 9925K->6998K(12552K), 0.0062518 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
11.143: [GC 11.143: [ParNew: 3845K->127K(3904K), 0.0005665 secs] 10381K->6663K(12552K), 0.0006037 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.145: [GC 11.146: [ParNew: 3509K->149K(3904K), 0.0009167 secs] 10045K->6685K(12552K), 0.0009673 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.149: [GC 11.149: [ParNew: 3530K->165K(3904K), 0.0005130 secs] 10066K->6702K(12552K), 0.0005577 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.151: [GC 11.151: [ParNew: 3532K->192K(3904K), 0.0006451 secs] 10068K->6728K(12552K), 0.0006967 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.154: [GC 11.154: [ParNew: 3562K->112K(3904K), 0.0004439 secs] 10098K->6648K(12552K), 0.0004782 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.156: [GC 11.156: [ParNew: 3478K->160K(3904K), 0.0004699 secs] 10014K->6696K(12552K), 0.0005059 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.159: [GC 11.159: [ParNew: 3527K->205K(3904K), 0.0007855 secs] 10063K->6741K(12552K), 0.0008287 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.161: [GC 11.161: [ParNew: 3569K->212K(3904K), 0.0006124 secs] 10105K->6748K(12552K), 0.0006525 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.164: [GC 11.164: [ParNew: 3527K->178K(3904K), 0.0004959 secs] 10063K->6714K(12552K), 0.0005344 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.166: [GC 11.166: [ParNew: 3564K->136K(3904K), 0.0004376 secs] 10100K->6672K(12552K), 0.0004744 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.168: [GC 11.168: [ParNew: 3464K->191K(3904K), 0.0004520 secs] 10000K->6727K(12552K), 0.0004864 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.171: [GC 11.171: [ParNew: 3579K->246K(3904K), 0.0006782 secs] 10115K->6782K(12552K), 0.0007253 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
